f1(x),f2(x)
-129.99900000000008,-100.00499999999882
-129.69596969697005,-101.52015151514861
-129.39293939393937,-103.03530303030249
-129.0899090909092,-104.55045454545397
-128.7868787878789,-106.06560606060441
-128.48384848484858,-107.58075757575678
-128.18081818181818,-109.09590909090782
-127.8777878787879,-110.61106060606002
-127.57475757575762,-112.12621212121056
-127.27172727272728,-113.64136363636331
-126.96869696969695,-115.15651515151467
-126.66566666666662,-116.67166666666664
-126.3626363636364,-118.18681818181749
-126.05960606060614,-119.70196969696902
-125.75657575757575,-121.21712121212057
-125.45354545454552,-122.7322727272723
-125.15051515151511,-124.24742424242423
-124.84748484848497,-125.76257575757509
-124.54445454545451,-127.27772727272746
-124.24142424242422,-128.7928787878788
-123.93839393939402,-130.30803030302968
-123.63536363636365,-131.82318181818184
-123.33233333333332,-133.33833333333337
-123.0293030303032,-134.85348484848146
-122.72627272727274,-136.3686363636351
-122.42324242424252,-137.8837878787871
-122.12021212121212,-139.39893939393951
-121.81718181818178,-140.91409090908985
-121.51415151515168,-142.42924242424155
-121.21112121212141,-143.9443939393911
-120.90809090909113,-145.45954545454387
-120.60506060606062,-146.97469696969657
-120.30203030303073,-148.48984848483963
-119.99900000000012,-150.0049999999989
-119.69596969696971,-151.520151515148
-119.39293939393934,-153.03530303030317
-119.08990909090906,-154.55045454545407
-118.786878787879,-156.065606060605
-118.48384848484869,-157.58075757575583
-118.18081818181835,-159.0959090909065
-117.8777878787879,-160.61106060605854
-117.57475757575763,-162.12621212121152
-117.27172727272725,-163.64136363636376
-116.96869696969725,-165.15651515151342
-116.66566666666668,-166.6716666666658
-116.36263636363648,-168.1868181818174
-116.05960606060611,-169.7019696969695
-115.75657575757577,-171.21712121212113
-115.45354545454583,-172.73227272727084
-115.15051515151535,-174.2474242424226
-114.84748484848487,-175.76257575757535
-114.5444545454547,-177.2777272727247
-114.24142424242442,-178.79287878787525
-113.9383939393939,-180.30803030303042
-113.63536363636368,-181.82318181817914
-113.33233333333337,-183.33833333333135
-113.0293030303031,-184.85348484848365
-112.72627272727274,-186.36863636363395
-112.4232424242424,-187.88378787878793
-112.12021212121223,-189.39893939393866
-111.81718181818187,-190.91409090908977
-111.51415151515161,-192.42924242424183
-111.21112121212161,-193.94439393939166
-110.90809090909093,-195.45954545454495
-110.60506060606076,-196.9746969696961
-110.30203030303035,-198.48984848484702
-109.99900000000012,-200.00499999999715
-109.69596969696974,-201.52015151515056
-109.39293939393941,-203.03530303030243
-109.08990909090933,-204.5504545454526
-108.78687878787882,-206.06560606060506
-108.48384848484844,-207.5807575757578
-108.18081818181824,-209.09590909090832
-107.87778787878784,-210.6110606060586
-107.57475757575766,-212.12621212121098
-107.27172727272729,-213.6413636363632
-106.96869696969699,-215.15651515151424
-106.665666666667,-216.6716666666642
-106.36263636363635,-218.1868181818161
-106.05960606060606,-219.70196969696954
-105.7565757575757,-221.21712121212127
-105.45354545454549,-222.73227272727163
-105.15051515151545,-224.2474242424212
-104.84748484848483,-225.7625757575759
-104.5444545454545,-227.2777272727273
-104.24142424242422,-228.79287878787855
-103.9383939393939,-230.30803030303048
-103.6353636363637,-231.82318181818158
-103.33233333333328,-233.33833333333266
-103.02930303030301,-234.85348484848475
-102.7262727272732,-236.36863636363393
-102.42324242424239,-237.88378787878713
-102.12021212121209,-239.39893939393838
-101.81718181818195,-240.91409090909033
-101.51415151515147,-242.42924242424135
-101.21112121212147,-243.94439393939254
-100.9080909090909,-245.45954545454526
-100.60506060606087,-246.97469696969497
-100.30203030303043,-248.4898484848478
-99.99999999999983,-249.99999999999912
