f1(x),f2(x)
-125.32239269529907,-122.95610663684948
-102.39711609350191,-237.67376885008963
-122.76315425087955,-134.50301711889645
-114.1464297613143,-177.16279820457362
-117.08912922337272,-163.14780257633393
-120.14358131775778,-147.63645803861374
-113.52818695156455,-180.99576466966045
-118.08534325247672,-157.86585927337111
-103.42116976966607,-230.10311275094634
-114.988689441545,-173.49514636236674
-120.2423426940322,-146.97697175046784
-126.67099810398786,-116.20152446521764
-120.80274233089173,-145.6239257833186
-122.4277865820437,-136.52919799208414
-116.71075212986156,-165.61559449781467
-109.17609693510383,-203.7129891742679
-101.4693941525407,-240.56559577935585
-117.67625563195044,-159.27393125699803
-118.63714711468972,-156.7300767405064
-127.74493357943177,-108.84257949095777
-108.80525985920491,-205.2532691518345
-119.53415333517157,-151.96270317892265
-116.67065121012166,-165.74542037701968
-101.39097916941195,-240.81914752457942
-105.51717647273837,-222.02276207230938
-113.83735199638701,-180.0323004239419
-103.71292013194841,-228.97782492407157
-112.16495981459975,-188.4749428737358
-106.67027314414875,-215.7831871437785
-111.98268830295787,-189.3602895594608
-129.1501242184669,-103.86180957116585
-109.78125602133687,-197.84687693096558
-127.13354356172556,-113.664900620169
-108.26676778505714,-208.61637059779088
-126.90505490121855,-113.81666176035714
-119.76759453471007,-150.84066767404178
-117.23676461572953,-161.16085073486937
-110.06895474154175,-197.73613340790712
-126.34862217431822,-116.21705794576394
-124.63583428402741,-125.10808732282928
-126.86712739209455,-115.6074636135423
-129.70464402513318,-100.79120009625709
-107.6745692288353,-211.58069517607703
-121.79289748632047,-140.88424793051536
-111.22578206400601,-193.81764613634033
-107.5090885482751,-211.9136885964701
-103.35822285484964,-230.1373919264538
-118.115984138129,-157.24098850950776
-128.52432622222102,-105.12893684798391
-126.33187464800851,-117.06716006165925
-102.96580036451374,-235.14771855431417
-117.9252164385459,-158.450319998714
-125.64295833641987,-117.09942879242301
-118.43979533408542,-157.08214533238163
-113.3156083057754,-182.86195854401547
-106.9751749861488,-214.9668967548335
-105.44895191241795,-222.33357086872616
-115.9887382772927,-169.28097148699499
-128.49912397113405,-105.93369235998381
-100.98020802502633,-244.01181781703485
-117.16537149586162,-162.79574334112542
-100.09771627508864,-247.12804540088126
-104.61990384934407,-226.09604839394774
-101.2473805106883,-241.36862455084088
-110.34519604822492,-194.90132407384093
-102.5409499005432,-235.8151197550032
-105.14093427844516,-224.00349137635723
-101.18902938407085,-242.51422641766226
-100.99272020711369,-243.56110775265444
-107.56211113736435,-211.78254145985446
-105.83459162429136,-219.6641376522719
-109.22989222290828,-201.7689998488919
-114.70144671200242,-174.76542586621528
-107.1645222486573,-213.05773736458397
-114.9838644467948,-173.95946387329874
-116.22130043541404,-167.5000074636217
-116.100297532418,-168.3450081565068
-119.87247215385811,-150.23355133066605
-114.35901026441059,-175.37826481902408
-105.8981113089249,-219.21655317364895
-100.55914316067232,-244.55745005904396
-103.0273295029238,-230.67016308365334
-116.74909239783179,-163.80537766668584
-113.64051272627393,-180.36840314876943
-124.17288168462541,-128.72876366258225
-115.7794435087059,-171.04465940696505
-102.98075781878933,-234.06494525043206
-112.57513474682034,-185.39738761229358
-121.12570446481635,-144.1816415086776
-114.99569735322619,-171.98535914355801
-117.64783385945485,-160.36596896061167
-102.66699614620623,-235.3707446304427
-116.54402756729775,-167.25958893758624
-111.62045316528409,-190.45834063749746
-99.66999950349766,-248.5251648282554
-101.05530884659854,-243.4975640930137
-101.84317650024508,-240.36388144632926
-114.27888630670242,-176.0223243583996
-121.89823875093131,-140.33358342403892
-123.01508494537606,-134.40071372217014
