f1(x),f2(x)
-100.00000001032716,-249.99999994628584
-100.7070705769702,-246.46464641838833
-101.41414128040002,-242.92929304698728
-102.12121206876611,-239.39393961824214
-102.82828272502508,-235.85858624226105
-103.5353533851063,-232.32323306201297
-104.24242421769239,-228.78787884450477
-104.94949486674594,-225.2525253646044
-105.6565654005358,-221.7171722034939
-106.36363625078191,-218.1818184726945
-107.07070693633528,-214.64646523342043
-107.77777767354718,-211.11111131555882
-108.48484842986197,-207.5757576942684
-109.19191909653442,-204.04040444222636
-109.8989897304578,-200.50505068442928
-110.60606055554143,-196.96969703582414
-111.31313120131625,-193.43434351256872
-112.02020195870182,-189.89899013025334
-112.7272726581659,-186.36363658197638
-113.43434334261168,-182.8282830872809
-114.14141402001746,-179.2929293419056
-114.84848479691311,-175.75757577094723
-115.5555555187897,-172.22222221813578
-116.26262605228867,-168.68686889370935
-116.96969694081889,-165.15151519240612
-117.67676758890049,-161.61616186283584
-118.38383830462342,-158.080808074266
-119.09090897507829,-154.54545509360827
-119.79797977147692,-151.010100979672
-120.50505044382764,-147.4747474913146
-121.21212105184331,-143.9393947293922
-121.91919173921812,-140.40404130250093
-122.62626238487418,-136.86868747534035
-123.33333330162134,-133.33333339065706
-124.04040398685794,-129.79797986025687
-124.7474747394484,-126.262626248161
-125.45454543683303,-122.72727278167609
-126.16161614724227,-119.19191925560283
-126.86868676513836,-115.65656574148304
-127.5757575629608,-112.12121214183801
-128.2828282746607,-108.5858585764676
-128.98989892564416,-105.05050507902372
-129.6969696436254,-101.51515172383715
-129.99999998786518,-99.99999989430982
-129.9999999113579,-99.99999915596415
-129.9999999886694,-99.99999997786205
-129.99999989946335,-99.99999902158252
-129.99999992158337,-99.99999989333288
-129.99999994885525,-99.99999966818821
-129.99999988397371,-99.9999996555358
-129.99999997167515,-99.99999995102398
-129.99999992965613,-99.9999998745029
-129.9999999389015,-100.00000014884061
-129.9999999614616,-100.00000018060423
-129.99999996929046,-99.99999983570355
-129.9999999413448,-99.99999985964473
-129.99999968055084,-100.0000013572462
-129.999999771611,-99.99999954414257
-129.99999989661438,-100.00000028336105
-129.9999999808451,-100.00000003746203
-129.99999985115494,-99.99999923793504
-129.99999982272192,-100.0000001707241
-129.99999997299247,-99.99999990246098
-129.99999993930004,-100.0000000869275
-129.99999994116646,-99.99999968198019
-129.99999988611293,-100.0000005221001
-129.99999998305873,-99.99999999045258
-129.99999988481892,-99.99999905775837
-129.99999998193775,-99.99999987438001
-129.999999937042,-100.00000024862636
-129.99999986159924,-99.99999947922183
-129.9999998629465,-99.9999987357787
-129.99999994708924,-99.99999959530787
-129.9999999597407,-99.99999980319583
-129.99999991598278,-99.99999979987601
-129.99999996948924,-100.00000003302931
-129.9999999644765,-99.99999987419707
-129.9999999826756,-99.99999988492252
-129.9999999377763,-100.00000022162101
-129.99999996540583,-100.00000003804246
-129.99999991482738,-99.99999996678955
-129.9999998903149,-99.99999898137594
-129.99999993122816,-100.0000000143122
-129.99999995603045,-99.99999959467405
-129.99999994114432,-100.00000001890037
-129.99999997876952,-100.00000000855711
-129.99999996041979,-99.99999965425833
-129.99999991026675,-99.99999980157237
-129.9999998985075,-100.00000050294575
-129.99999994161172,-99.99999982379293
-129.99999987231274,-100.00000014683012
-129.99999987099656,-99.99999911479053
-129.99999993209445,-99.99999992458405
-129.9999998832748,-99.99999958567197
-129.99999987643815,-99.9999989949356
-129.99999994939063,-99.99999999954598
-129.99999986997943,-100.0000003892482
-129.99999995502336,-99.99999983818401
-129.99999984144915,-99.9999998615009
-129.99999993117058,-99.99999931701147
